LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,402
Segment,TrigTime,TimeSinceSegment1
#1,11-Oct-2021 10:06:28,0                 
Time,Ampl
-3.11497e-009,0.00837603
-3.08997e-009,0.00417428
-3.06497e-009,0.00183998
-3.03997e-009,0.00249908
-3.01497e-009,0.00444891
-2.98997e-009,0.00560233
-2.96497e-009,0.00475099
-2.93997e-009,0.00247161
-2.91497e-009,0.00101611
-2.88997e-009,0.00238923
-2.86497e-009,0.0059868
-2.83997e-009,0.00980407
-2.81497e-009,0.0120835
-2.78997e-009,0.0120835
-2.76497e-009,0.0105181
-2.73997e-009,0.00939214
-2.71497e-009,0.00950199
-2.68997e-009,0.00999631
-2.66497e-009,0.00933721
-2.63997e-009,0.00650859
-2.61497e-009,0.00178506
-2.58997e-009,-0.00280116
-2.56497e-009,-0.00475099
-2.53997e-009,-0.00302086
-2.51497e-009,0.00131819
-2.48997e-009,0.00637127
-2.46497e-009,0.0103259
-2.43997e-009,0.0121933
-2.41497e-009,0.0119461
-2.38997e-009,0.0106005
-2.36497e-009,0.00865065
-2.33997e-009,0.00653605
-2.31497e-009,0.00477846
-2.28997e-009,0.0034328
-2.26497e-009,0.00200475
-2.23997e-009,0.000466861
-2.21497e-009,-0.000439398
-2.18997e-009,-0.000494323
-2.16497e-009,8.23872e-005
-2.13997e-009,0.00126327
-2.11497e-009,0.00236177
-2.08997e-009,0.00313071
-2.06497e-009,0.00461368
-2.03997e-009,0.00689306
-2.01497e-009,0.00878796
-1.98997e-009,0.00952945
-1.96497e-009,0.00903513
-1.93997e-009,0.00768947
-1.91497e-009,0.00675575
-1.88997e-009,0.00681067
-1.86497e-009,0.00749723
-1.83997e-009,0.0085408
-1.81497e-009,0.00999631
-1.78997e-009,0.0112321
-1.76497e-009,0.0114793
-1.73997e-009,0.010216
-1.71497e-009,0.00782678
-1.68997e-009,0.00593188
-1.66497e-009,0.0055474
-1.63997e-009,0.00573964
-1.61497e-009,0.00508054
-1.58997e-009,0.00359757
-1.56497e-009,0.002554
-1.53997e-009,0.00392712
-1.51497e-009,0.00815633
-1.48997e-009,0.0122757
-1.46497e-009,0.0132918
-1.43997e-009,0.01093
-1.41497e-009,0.00700291
-1.38997e-009,0.00422921
-1.36497e-009,0.00428413
-1.33997e-009,0.00631635
-1.31497e-009,0.00801902
-1.28997e-009,0.00840349
-1.26497e-009,0.00733246
-1.23997e-009,0.00502562
-1.21497e-009,0.00222445
-1.18997e-009,-0.00010985
-1.16497e-009,-0.00120835
-1.13997e-009,0.000411936
-1.11497e-009,0.00524532
-1.08997e-009,0.0118638
-1.06497e-009,0.0177407
-1.03997e-009,0.0201849
-1.01497e-009,0.0180703
-9.89974e-010,0.0127975
-9.64974e-010,0.00735992
-9.39974e-010,0.00411936
-9.14974e-010,0.00359757
-8.89974e-010,0.00444891
-8.64974e-010,0.00475099
-8.39974e-010,0.00389966
-8.14974e-010,0.00307579
-7.89974e-010,0.00378981
-7.64974e-010,0.0062065
-7.39974e-010,0.0091999
-7.14974e-010,0.0111497
-6.89974e-010,0.0110124
-6.64974e-010,0.00878796
-6.39974e-010,0.00458622
-6.14974e-010,-0.00115342
-5.89974e-010,-0.00749723
-5.64974e-010,-0.0118088
-5.39974e-010,-0.0118638
-5.14974e-010,-0.00744231
-4.89974e-010,-0.000906259
-4.64974e-010,0.00433906
-4.39974e-010,0.0066459
-4.14974e-010,0.00675575
-3.89974e-010,0.00653605
-3.64974e-010,0.0068656
-3.39974e-010,0.00697545
-3.14974e-010,0.00612411
-2.89974e-010,0.00486084
-2.64974e-010,0.00519039
-2.39974e-010,0.00851334
-2.14974e-010,0.0150769
-1.89974e-010,0.0222171
-1.64974e-010,0.0252654
-1.39974e-010,0.021146
-1.14974e-010,0.00996885
-8.99739e-011,-0.00288355
-6.49739e-011,-0.00571218
-3.99739e-011,0.0163401
-1.49739e-011,0.0735443
1.00261e-011,0.164692
3.50261e-011,0.271878
6.00261e-011,0.36124
8.50261e-011,0.394717
1.10026e-010,0.348855
1.35026e-010,0.226263
1.60026e-010,0.0569845
1.85026e-010,-0.113035
2.10026e-010,-0.24307
2.35026e-010,-0.314637
2.60026e-010,-0.333421
2.85026e-010,-0.321365
3.10026e-010,-0.302361
3.35026e-010,-0.288877
3.60026e-010,-0.278221
3.85026e-010,-0.2593
4.10026e-010,-0.221594
4.35026e-010,-0.163044
4.60026e-010,-0.0923835
4.85026e-010,-0.0246063
5.10026e-010,0.0268582
5.35026e-010,0.0551994
5.60026e-010,0.0621474
5.85026e-010,0.0564352
6.10026e-010,0.0480317
6.35026e-010,0.0433082
6.60026e-010,0.0432258
6.85026e-010,0.0445715
7.10026e-010,0.0433082
7.35026e-010,0.0387769
7.60026e-010,0.0334217
7.85026e-010,0.0301262
8.10026e-010,0.030291
8.35026e-010,0.0331196
8.60026e-010,0.0357835
8.85026e-010,0.0364975
9.10026e-010,0.0353441
9.35026e-010,0.0331196
9.60026e-010,0.0302636
9.85026e-010,0.0268308
1.01003e-009,0.0225192
1.03503e-009,0.017878
1.06003e-009,0.0148297
1.08503e-009,0.0155712
1.11003e-009,0.0201025
1.13503e-009,0.0261717
1.16003e-009,0.0308952
1.18503e-009,0.0318838
1.21003e-009,0.0295221
1.23503e-009,0.0257597
1.26003e-009,0.0224093
1.28503e-009,0.020432
1.31003e-009,0.0193884
1.33503e-009,0.0184273
1.36003e-009,0.0175759
1.38503e-009,0.0167521
1.41003e-009,0.0156261
1.43503e-009,0.0143903
1.46003e-009,0.0129897
1.48503e-009,0.0111497
1.51003e-009,0.0094196
1.53503e-009,0.00840349
1.56003e-009,0.00807394
1.58503e-009,0.00884289
1.61003e-009,0.011287
1.63503e-009,0.0142255
1.66003e-009,0.0160106
1.68503e-009,0.015681
1.71003e-009,0.0126327
1.73503e-009,0.0081014
1.76003e-009,0.00521785
1.78503e-009,0.00546502
1.81003e-009,0.00837603
1.83503e-009,0.0123581
1.86003e-009,0.0151318
1.88503e-009,0.0155712
1.91003e-009,0.0146649
1.93503e-009,0.0132369
1.96003e-009,0.0116441
1.98503e-009,0.009859
2.01003e-009,0.00856826
2.03503e-009,0.00887035
2.06003e-009,0.0117814
2.08503e-009,0.0167246
2.11003e-009,0.0210911
2.13503e-009,0.0222445
2.16003e-009,0.0193335
2.18503e-009,0.0143354
2.21003e-009,0.0105456
2.23503e-009,0.0101611
2.26003e-009,0.0125778
2.28503e-009,0.0150494
2.31003e-009,0.0143628
2.33503e-009,0.00972169
2.36003e-009,0.00346026
2.38503e-009,-0.00112596
2.41003e-009,-0.00167521
2.43503e-009,0.00194983
2.46003e-009,0.00735992
2.48503e-009,0.0120835
2.51003e-009,0.0148846
2.53503e-009,0.0156261
2.56003e-009,0.0149121
2.58503e-009,0.0140058
2.61003e-009,0.0139234
